time,price,portfolio_value,action,action_name,amount_bought,amount_sold,cash,shares,commission
95,13.414531,10003.232795,0,nothing,0.000000,0.000000,8785.129743,100.066356,0.000000
96,13.290831,10005.066711,2,nothing,0.000000,0.000000,8785.129743,100.066356,0.000000
97,13.235853,10015.234312,1,buy-large,359.583222,0.000000,4392.564872,459.649578,8.785130
98,12.970128,10062.026574,4,buy-small,35.837115,0.000000,3953.308384,495.486693,0.878513
99,13.107573,10105.859198,4,sell-large,0.000000,247.743347,7001.558761,247.743347,6.108718
100,13.089247,10113.537679,0,sell-large,0.000000,123.871673,8550.604679,123.871673,3.104300
101,13.148806,10112.402643,1,nothing,0.000000,0.000000,8550.604679,123.871673,0.000000
102,13.199202,10116.835655,0,buy-small,67.682208,0.000000,7695.544211,191.553882,1.710121
103,13.345808,10097.528556,0,nothing,0.000000,0.000000,7695.544211,191.553882,0.000000
104,13.208365,10054.526242,2,nothing,0.000000,0.000000,7695.544211,191.553882,0.000000
105,13.098410,10185.202580,4,buy-large,311.821609,0.000000,3847.772106,503.375490,7.695544
106,12.896825,10163.874879,0,sell-large,0.000000,251.687745,7010.149912,251.687745,6.337430
107,12.571541,10186.936775,4,nothing,0.000000,0.000000,7010.149912,251.687745,0.000000
108,12.676915,10193.561338,0,sell-large,0.000000,125.843873,8595.366557,125.843873,3.176787
109,12.617356,10177.417961,0,nothing,0.000000,0.000000,8595.366557,125.843873,0.000000
110,12.708985,10185.489712,1,nothing,0.000000,0.000000,8595.366557,125.843873,0.000000
111,12.722730,10146.492267,0,buy-small,67.888507,0.000000,7735.829901,193.732379,1.719073
112,12.649426,10135.841442,0,nothing,0.000000,0.000000,7735.829901,193.732379,0.000000
113,12.722730,10161.581114,4,nothing,0.000000,0.000000,7735.829901,193.732379,0.000000
114,12.672333,10159.155362,4,sell-large,0.000000,96.866190,8946.279756,96.866190,2.425751
115,12.640263,10161.270906,0,sell-large,0.000000,48.433095,9551.504684,48.433095,1.212876
116,12.516563,10164.821197,0,nothing,0.000000,0.000000,9551.504684,48.433095,0.000000
117,12.030928,10157.276774,1,nothing,0.000000,0.000000,9551.504684,48.433095,0.000000
118,11.701063,10185.633054,1,buy-small,76.214095,0.000000,8596.354215,124.647189,1.910301
119,11.756040,10179.517161,4,buy-small,67.286391,0.000000,7736.718794,191.933580,1.719271
120,11.806437,10164.323927,1,sell-large,0.000000,95.966790,8955.675179,95.966790,2.442798
121,11.971369,10161.003187,4,buy-small,70.965904,0.000000,8060.107661,166.932694,1.791135
122,12.117976,10146.665541,0,sell-large,0.000000,83.466347,9108.454529,83.466347,2.100896
123,12.021765,10144.371218,0,nothing,0.000000,0.000000,9108.454529,83.466347,0.000000
124,11.934717,10167.315115,4,nothing,0.000000,0.000000,9108.454529,83.466347,0.000000
125,12.076743,10152.489900,0,sell-large,0.000000,41.733173,9636.825962,41.733173,1.058861
126,12.067580,10137.767605,0,nothing,0.000000,0.000000,9636.825962,41.733173,0.000000
127,12.163790,10140.061970,0,nothing,0.000000,0.000000,9636.825962,41.733173,0.000000
128,12.067580,10145.415543,3,nothing,0.000000,0.000000,9636.825962,41.733173,0.000000
129,11.962206,10144.281379,0,sell-small,0.000000,4.173317,9687.583202,37.559856,0.101718
130,11.907229,10143.937219,2,nothing,0.000000,0.000000,9687.583202,37.559856,0.000000
131,11.893484,10198.085840,4,buy-large,397.867104,0.000000,4843.791601,435.426960,9.687583
132,11.943880,10174.777586,2,sell-large,0.000000,217.713480,7515.584426,217.713480,5.354294
133,11.948462,10193.707613,3,buy-large,307.042673,0.000000,3757.792213,524.756154,7.515584
134,11.852251,10144.817858,4,sell-small,0.000000,52.475615,4400.096570,472.280538,1.287183
135,12.140883,10114.190328,4,sell-large,0.000000,236.140269,7266.712493,236.140269,5.744721
136,12.695240,10112.424726,1,sell-large,0.000000,118.070135,8687.603932,118.070135,2.847478
137,12.690660,10090.674847,4,buy-small,71.847286,0.000000,7818.843539,189.917421,1.737521
138,12.905988,10086.662803,1,sell-large,0.000000,94.958710,8952.487362,94.958710,2.271831
139,12.960966,10110.538664,1,buy-small,74.804690,0.000000,8057.238626,169.763400,1.790497
